equipment_id,hotel_id,equipment_type,location,exact_location,install_year,manufacturer,condition,hotel_name,city,province,star_rating,rooms,hotel_type,record_id,last_service_date,service_interval_months,months_since_service,fault_count,technician,service_cost_LKR,next_service_date,equipment_age_years,risk_level,usage_level,daily_exposure_hours,humidity_level,temperature_avg_c,coastal_exposure,power_fluctuation_level,backup_power_available,technician_experience_years,service_quality_score,certification_status,last_audit_score,activated_before,activation_count,last_activation_year,floor_level,near_emergency_exit
FE000001,H0060,Fire Alarm,Conference Hall,Floor 1 – Corridor 3,2012,Local,Good,Aitken Palace Galle,Galle,Southern,5,318,Eco Lodge,M000001,12/16/2024,12,11,0,SafetyOne Services,6750,12/16/2025,13,Medium,Medium,7,Medium,28,Yes,Medium,Yes,1,4,Valid,87,No,0,,1,No
FE000002,H0113,Smoke Detector,Kitchen,Floor 1 – Corridor 2,2011,Local,Fair,Serendib Heights Badulla,Badulla,Uva,3,123,Hill Country,M000002,10/10/2025,12,2,0,Lanka Safety,3750,10/10/2026,14,Medium,High,18,Medium,28,No,Low,No,9,4,Valid,86,No,0,,1,No
FE000003,H0206,Fire Alarm,Conference Hall,Floor 1 – Corridor 1,2019,Honeywell,Good,Jetwing Bay Badulla,Badulla,Uva,3,63,City Hotel,M000003,6/12/2025,12,6,0,SL FireTech,6100,6/12/2026,6,Low,Medium,7,Medium,26,No,High,No,9,4,Valid,95,No,0,,1,Yes
FE000004,H0183,Sprinkler,Conference Hall,Conference Hall – Zone 1,2016,Viking,Good,Ocean Bay Monaragala,Monaragala,Uva,3,55,Business Hotel,M000004,12/17/2025,6,0,0,SafetyOne Services,6500,6/17/2026,9,Low,Medium,7,Low,31,No,Low,No,13,3,Valid,90,No,0,,0,Yes
FE000005,H0038,Sprinkler,Conference Hall,Kitchen – Zone 3,2024,Tyco,Fair,Cinnamon Cove Ratnapura,Ratnapura,Sabaragamuwa,5,142,Business Hotel,M000005,11/11/2025,12,1,0,City Fire,7200,11/11/2026,1,Low,Low,4,Low,28,No,Medium,Yes,10,3,Valid,92,No,0,,0,No
FE000006,H0014,Smoke Detector,Kitchen,Floor 1 – Corridor 2,2018,Honeywell,Good,Cinnamon Palace Colombo,Colombo,Western,4,65,City Hotel,M000006,11/20/2025,6,0,1,SL FireTech,4550,5/21/2026,7,Medium,Low,4,High,28,Yes,Low,Yes,11,4,Valid,74,Yes,2,2019,1,Yes
FE000007,H0082,Hose Reel,Car Park,Car Park – Section C,2015,Local,Fair,Heritance Grand Anuradhapura,Anuradhapura,North Central,5,281,Hill Country,M000007,10/14/2025,6,1,0,City Fire,4650,4/14/2026,10,Medium,Low,4,Low,26,No,High,Yes,5,4,Valid,80,No,0,,0,No
FE000008,H0179,Sprinkler,Storage,Kitchen – Zone 3,2017,Viking,Good,Jetwing Retreat Polonnaruwa,Polonnaruwa,North Central,3,104,Resort,M000008,10/21/2025,12,1,1,Lanka Safety,9100,10/21/2026,8,Low,High,18,Medium,29,No,Medium,No,7,5,Valid,80,Yes,2,2019,0,No
FE000009,H0214,Fire Extinguisher,Restaurant,Boiler Room 2 (Floor 6),2018,Local,Good,Heritance Grand Anuradhapura,Anuradhapura,North Central,3,159,Resort,M000009,10/14/2025,6,1,1,SL FireTech,3850,4/14/2026,7,Low,Medium,7,Low,28,No,Low,No,3,4,Valid,89,Yes,3,2024,6,No
FE000010,H0013,Fire Extinguisher,Restaurant,Kitchen 1 (Floor 3),2014,Local,Good,Lanka Villa Polonnaruwa,Polonnaruwa,North Central,4,194,Hill Country,M000010,10/8/2025,6,2,1,SL FireTech,3450,4/8/2026,11,Medium,Medium,7,Medium,30,No,Medium,Yes,13,4,Valid,78,Yes,3,2020,3,Yes
FE000011,H0162,Fire Alarm,Security Room,Floor 2 – Corridor 3,2014,Siemens,Good,Jetwing Retreat Jaffna,Jaffna,Northern,5,307,Eco Lodge,M000011,10/23/2025,6,1,0,Lanka Safety,7100,4/23/2026,11,Medium,Low,4,Medium,32,No,Low,Yes,8,4,Valid,80,No,0,,2,No
FE000012,H0147,Smoke Detector,Guest Floor,Floor 3 – Corridor 1,2017,Bosch,Good,Heritance Heights Ampara,Ampara,Eastern,4,105,Resort,M000012,8/7/2025,6,4,1,SafetyOne Services,3950,2/5/2026,8,Medium,High,18,High,28,Yes,High,Yes,13,5,Valid,73,Yes,2,2021,3,No
FE000013,H0142,Fire Extinguisher,Laundry,Restaurant 1 (Floor 2),2018,ABC Lanka,Good,Serendib Retreat Kandy,Kandy,Central,4,258,Beach Hotel,M000013,6/12/2025,6,6,1,SL FireTech,3800,12/11/2025,7,Medium,High,18,Low,21,No,Medium,Yes,3,3,Valid,77,Yes,2,2019,2,No
FE000014,H0092,Sprinkler,Restaurant,Storage – Zone 3,2015,Tyco,Good,Pearl Grand Polonnaruwa,Polonnaruwa,North Central,5,318,Eco Lodge,M000014,11/2/2025,12,1,1,SafetyOne Services,9600,11/2/2026,10,Medium,Low,4,Low,26,No,Low,Yes,10,3,Valid,78,Yes,5,2022,0,No
